algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,total_weight,iterations,nodes_explored,success,complexity,efficiency_score,throughput,memory_efficiency
A*,medium,50,245,2.144600000065111,0.0077972412109375,8,47,31,31,True,O(E log V),0.012333433519638714,14.448173004781538,3523.831989676273
Dijkstra,medium,50,245,1.6163000000233296,0.00662994384765625,8,47,33,31,True,O(E log V),0.009600022578687181,19.167748716720972,4062.939468358278
Bellman-Ford,medium,50,245,4.798200000095676,0.00677490234375,8,47,7,50,True,O(V * E),0.023277672317683608,10.418403066970162,6430.948941782327
BFS,medium,50,245,0.3345999998600746,0.00525665283203125,3,68,40,40,True,O(V + E),0.003558615797566253,119.18951137269856,6393.194743876147
DFS,medium,50,245,0.19189999966329196,0.0037078857421875,9,385,9,9,True,O(V + E),0.002321314506076309,46.656298681749874,1911.686156558716
Multi-Source-BFS,medium,50,245,0.5264999999781139,0.00519561767578125,3,68,40,40,True,O(V + E),0.00435528600448713,75.8293838894021,6456.176299638456
Topological-Sort,medium,50,245,1.1724999999387364,0.00397491455078125,50,50,50,50,True,O(V + E),0.006626451043456851,42.60758415220307,10050.423879571581
A*,medium,100,742,4.340999999840278,0.02071380615234375,6,28,35,35,True,O(E log V),0.02695950254965087,8.060801474271646,1611.877703726399
Dijkstra,medium,100,742,3.5716999996111554,0.0145111083984375,6,28,36,34,True,O(E log V),0.021157601268600466,9.516612087133117,2191.9774607097042
Bellman-Ford,medium,100,742,4.436799999893992,0.0447998046875,6,28,6,100,True,O(V * E),0.03711306736292895,22.533687863893988,2183.41542463592
BFS,medium,100,742,0.860499999816966,0.01399993896484375,4,162,89,89,True,O(V + E),0.009346474602621441,103.30818342299351,5933.35747622671
DFS,medium,100,742,0.7521000002270739,0.01120758056640625,55,2868,55,55,True,O(V + E),0.0077529115689627635,73.03146990229247,4505.397257123429
Multi-Source-BFS,medium,100,742,0.5022000000280968,0.01399993896484375,4,162,89,89,True,O(V + E),0.007812896826065426,176.8680445052277,5933.35747622671
Topological-Sort,medium,100,742,2.652599999692029,0.00801849365234375,100,100,100,100,True,O(V + E),0.014597253174451983,37.684654812935555,11088.326261006097
A*,medium,100,742,1.7063999998754298,0.01964569091796875,6,23,12,12,True,O(E log V),0.015250933691661372,7.028230057909985,581.2350890885386
